timestamp;container;cpu;mem_usage;mem_percent;net_io;block_io
2026-09-07T13:08:50+00:00;tb-thingsboard-ce-1;15.58%;1.968GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;221MB / 66.5MB
2026-09-07T13:08:50+00:00;tb-postgres-1;0.10%;4.217GiB / 15.57GiB;27.09%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:08:50+00:00;tb-kafka-1;6.73%;1.517GiB / 15.57GiB;9.75%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:09:02+00:00;tb-thingsboard-ce-1;26.16%;1.968GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;221MB / 66.5MB
2026-09-07T13:09:02+00:00;tb-postgres-1;23.00%;4.222GiB / 15.57GiB;27.12%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:09:02+00:00;tb-kafka-1;7.51%;1.517GiB / 15.57GiB;9.75%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:09:15+00:00;tb-thingsboard-ce-1;15.03%;1.968GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;221MB / 66.5MB
2026-09-07T13:09:15+00:00;tb-postgres-1;1.64%;4.222GiB / 15.57GiB;27.12%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:09:15+00:00;tb-kafka-1;6.11%;1.517GiB / 15.57GiB;9.75%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:09:27+00:00;tb-thingsboard-ce-1;14.66%;1.967GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;221MB / 66.5MB
2026-09-07T13:09:27+00:00;tb-postgres-1;0.15%;4.222GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:09:27+00:00;tb-kafka-1;5.26%;1.517GiB / 15.57GiB;9.75%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:09:39+00:00;tb-thingsboard-ce-1;29.54%;1.967GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;221MB / 66.5MB
2026-09-07T13:09:39+00:00;tb-postgres-1;0.83%;4.222GiB / 15.57GiB;27.12%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:09:39+00:00;tb-kafka-1;5.52%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:09:51+00:00;tb-thingsboard-ce-1;16.67%;1.968GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;221MB / 66.5MB
2026-09-07T13:09:51+00:00;tb-postgres-1;3.72%;4.222GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:09:51+00:00;tb-kafka-1;6.28%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:10:03+00:00;tb-thingsboard-ce-1;34.74%;1.968GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;221MB / 66.5MB
2026-09-07T13:10:03+00:00;tb-postgres-1;0.03%;4.221GiB / 15.57GiB;27.12%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:10:03+00:00;tb-kafka-1;10.67%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:10:15+00:00;tb-thingsboard-ce-1;16.24%;1.968GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;222MB / 66.5MB
2026-09-07T13:10:15+00:00;tb-postgres-1;0.38%;4.222GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:10:15+00:00;tb-kafka-1;6.04%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:10:27+00:00;tb-thingsboard-ce-1;20.72%;1.967GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;222MB / 66.5MB
2026-09-07T13:10:27+00:00;tb-postgres-1;17.93%;4.223GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:10:27+00:00;tb-kafka-1;6.36%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:10:39+00:00;tb-thingsboard-ce-1;13.91%;1.967GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;222MB / 66.5MB
2026-09-07T13:10:39+00:00;tb-postgres-1;25.69%;4.222GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:10:39+00:00;tb-kafka-1;5.82%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:10:52+00:00;tb-thingsboard-ce-1;14.62%;1.967GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;222MB / 66.5MB
2026-09-07T13:10:52+00:00;tb-postgres-1;3.53%;4.223GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:10:52+00:00;tb-kafka-1;6.18%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:11:04+00:00;tb-thingsboard-ce-1;15.20%;1.967GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;222MB / 66.5MB
2026-09-07T13:11:04+00:00;tb-postgres-1;71.52%;4.223GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:11:04+00:00;tb-kafka-1;5.51%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:11:16+00:00;tb-thingsboard-ce-1;15.91%;1.967GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;222MB / 66.5MB
2026-09-07T13:11:16+00:00;tb-postgres-1;1.98%;4.223GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:11:16+00:00;tb-kafka-1;7.33%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:11:28+00:00;tb-thingsboard-ce-1;29.08%;1.967GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;222MB / 66.5MB
2026-09-07T13:11:28+00:00;tb-postgres-1;68.87%;4.223GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:11:28+00:00;tb-kafka-1;5.43%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:11:40+00:00;tb-thingsboard-ce-1;32.27%;1.967GiB / 15.57GiB;12.63%;21.3GB / 35.4GB;222MB / 66.5MB
2026-09-07T13:11:40+00:00;tb-postgres-1;1.06%;4.223GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:11:40+00:00;tb-kafka-1;6.76%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:11:52+00:00;tb-thingsboard-ce-1;21.62%;1.967GiB / 15.57GiB;12.64%;21.3GB / 35.4GB;222MB / 66.5MB
2026-09-07T13:11:52+00:00;tb-postgres-1;21.07%;4.223GiB / 15.57GiB;27.13%;19.7GB / 7.61GB;1.57TB / 3.88TB
2026-09-07T13:11:52+00:00;tb-kafka-1;5.47%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.2GB;662MB / 10.9GB
2026-09-07T13:12:04+00:00;tb-thingsboard-ce-1;15.24%;1.966GiB / 15.57GiB;12.63%;21.3GB / 35.4GB;222MB / 66.5MB
2026-09-07T13:12:04+00:00;tb-postgres-1;0.10%;4.223GiB / 15.57GiB;27.13%;19.7GB / 7.62GB;1.57TB / 3.88TB
2026-09-07T13:12:04+00:00;tb-kafka-1;7.08%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.3GB;662MB / 10.9GB
2026-09-07T13:12:17+00:00;tb-thingsboard-ce-1;16.18%;1.967GiB / 15.57GiB;12.64%;21.3GB / 35.5GB;222MB / 66.5MB
2026-09-07T13:12:17+00:00;tb-postgres-1;0.64%;4.231GiB / 15.57GiB;27.18%;19.7GB / 7.62GB;1.57TB / 3.88TB
2026-09-07T13:12:17+00:00;tb-kafka-1;6.63%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.3GB;662MB / 10.9GB
2026-09-07T13:12:29+00:00;tb-thingsboard-ce-1;27.45%;1.967GiB / 15.57GiB;12.63%;21.3GB / 35.5GB;222MB / 66.5MB
2026-09-07T13:12:29+00:00;tb-postgres-1;1.28%;4.232GiB / 15.57GiB;27.18%;19.7GB / 7.62GB;1.57TB / 3.88TB
2026-09-07T13:12:29+00:00;tb-kafka-1;5.96%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.3GB;662MB / 10.9GB
2026-09-07T13:12:41+00:00;tb-thingsboard-ce-1;17.13%;1.966GiB / 15.57GiB;12.63%;21.3GB / 35.5GB;222MB / 66.5MB
2026-09-07T13:12:41+00:00;tb-postgres-1;0.49%;4.231GiB / 15.57GiB;27.18%;19.7GB / 7.62GB;1.57TB / 3.88TB
2026-09-07T13:12:41+00:00;tb-kafka-1;5.70%;1.533GiB / 15.57GiB;9.85%;15.4GB / 12.3GB;662MB / 10.9GB
2026-09-07T13:12:53+00:00;tb-thingsboard-ce-1;30.09%;1.967GiB / 15.57GiB;12.63%;21.3GB / 35.5GB;222MB / 66.5MB
2026-09-07T13:12:53+00:00;tb-postgres-1;69.41%;4.231GiB / 15.57GiB;27.18%;19.7GB / 7.62GB;1.57TB / 3.88TB
2026-09-07T13:12:53+00:00;tb-kafka-1;5.40%;1.533GiB / 15.57GiB;9.85%;15.5GB / 12.3GB;662MB / 10.9GB
2026-09-07T13:13:05+00:00;tb-thingsboard-ce-1;15.17%;1.966GiB / 15.57GiB;12.63%;21.3GB / 35.5GB;222MB / 66.5MB
2026-09-07T13:13:05+00:00;tb-postgres-1;0.89%;4.232GiB / 15.57GiB;27.18%;19.7GB / 7.62GB;1.57TB / 3.88TB
2026-09-07T13:13:05+00:00;tb-kafka-1;5.49%;1.533GiB / 15.57GiB;9.85%;15.5GB / 12.3GB;662MB / 10.9GB
2026-09-07T13:13:17+00:00;tb-thingsboard-ce-1;15.39%;1.967GiB / 15.57GiB;12.63%;21.3GB / 35.5GB;222MB / 66.5MB
2026-09-07T13:13:17+00:00;tb-postgres-1;1.83%;4.232GiB / 15.57GiB;27.19%;19.7GB / 7.62GB;1.57TB / 3.88TB
2026-09-07T13:13:17+00:00;tb-kafka-1;6.90%;1.533GiB / 15.57GiB;9.85%;15.5GB / 12.3GB;662MB / 10.9GB
2026-09-07T13:13:29+00:00;tb-thingsboard-ce-1;15.87%;1.966GiB / 15.57GiB;12.63%;21.3GB / 35.5GB;222MB / 66.6MB
2026-09-07T13:13:29+00:00;tb-postgres-1;1.37%;4.231GiB / 15.57GiB;27.18%;19.7GB / 7.62GB;1.57TB / 3.88TB
2026-09-07T13:13:29+00:00;tb-kafka-1;6.46%;1.533GiB / 15.57GiB;9.85%;15.5GB / 12.3GB;662MB / 10.9GB
2026-09-07T13:13:41+00:00;tb-thingsboard-ce-1;14.60%;1.966GiB / 15.57GiB;12.63%;21.3GB / 35.5GB;222MB / 66.6MB
2026-09-07T13:13:41+00:00;tb-postgres-1;4.27%;4.232GiB / 15.57GiB;27.19%;19.7GB / 7.62GB;1.57TB / 3.88TB
2026-09-07T13:13:41+00:00;tb-kafka-1;6.04%;1.533GiB / 15.57GiB;9.85%;15.5GB / 12.3GB;662MB / 10.9GB
2026-09-07T13:13:54+00:00;tb-thingsboard-ce-1;16.29%;1.966GiB / 15.57GiB;12.63%;21.3GB / 35.5GB;222MB / 66.6MB
