timestamp;container;cpu;mem_usage;mem_percent;net_io;block_io
2026-09-07T17:52:14+00:00;tb-thingsboard-ce-1;21.57%;1.989GiB / 15.57GiB;12.78%;23.3GB / 38.9GB;242MB / 72MB
2026-09-07T17:52:14+00:00;tb-postgres-1;160.62%;4.285GiB / 15.57GiB;27.53%;22.1GB / 8.51GB;1.57TB / 3.89TB
2026-09-07T17:52:14+00:00;tb-kafka-1;15.26%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.8GB
2026-09-07T17:52:26+00:00;tb-thingsboard-ce-1;14.00%;1.99GiB / 15.57GiB;12.78%;23.3GB / 38.9GB;242MB / 72MB
2026-09-07T17:52:26+00:00;tb-postgres-1;1.59%;4.285GiB / 15.57GiB;27.53%;22.1GB / 8.51GB;1.57TB / 3.89TB
2026-09-07T17:52:26+00:00;tb-kafka-1;7.74%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.8GB
2026-09-07T17:52:39+00:00;tb-thingsboard-ce-1;14.54%;1.989GiB / 15.57GiB;12.78%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:52:39+00:00;tb-postgres-1;62.79%;4.287GiB / 15.57GiB;27.54%;22.1GB / 8.51GB;1.57TB / 3.89TB
2026-09-07T17:52:39+00:00;tb-kafka-1;10.57%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.8GB
2026-09-07T17:52:51+00:00;tb-thingsboard-ce-1;19.31%;1.989GiB / 15.57GiB;12.78%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:52:51+00:00;tb-postgres-1;0.43%;4.285GiB / 15.57GiB;27.53%;22.1GB / 8.51GB;1.57TB / 3.89TB
2026-09-07T17:52:51+00:00;tb-kafka-1;7.38%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.8GB
2026-09-07T17:53:03+00:00;tb-thingsboard-ce-1;14.99%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:53:03+00:00;tb-postgres-1;0.10%;4.285GiB / 15.57GiB;27.53%;22.1GB / 8.51GB;1.57TB / 3.89TB
2026-09-07T17:53:03+00:00;tb-kafka-1;5.33%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:53:15+00:00;tb-thingsboard-ce-1;21.23%;1.989GiB / 15.57GiB;12.78%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:53:15+00:00;tb-postgres-1;37.49%;4.286GiB / 15.57GiB;27.53%;22.1GB / 8.51GB;1.57TB / 3.89TB
2026-09-07T17:53:15+00:00;tb-kafka-1;16.46%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:53:27+00:00;tb-thingsboard-ce-1;14.42%;1.989GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:53:27+00:00;tb-postgres-1;1.16%;4.286GiB / 15.57GiB;27.54%;22.1GB / 8.51GB;1.57TB / 3.89TB
2026-09-07T17:53:27+00:00;tb-kafka-1;5.38%;1.458GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:53:39+00:00;tb-thingsboard-ce-1;36.28%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:53:39+00:00;tb-postgres-1;147.96%;4.286GiB / 15.57GiB;27.53%;22.1GB / 8.52GB;1.57TB / 3.89TB
2026-09-07T17:53:39+00:00;tb-kafka-1;6.46%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:53:51+00:00;tb-thingsboard-ce-1;14.28%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:53:51+00:00;tb-postgres-1;0.74%;4.286GiB / 15.57GiB;27.53%;22.1GB / 8.52GB;1.57TB / 3.89TB
2026-09-07T17:53:51+00:00;tb-kafka-1;6.60%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:54:03+00:00;tb-thingsboard-ce-1;28.08%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:54:03+00:00;tb-postgres-1;45.42%;4.272GiB / 15.57GiB;27.44%;22.1GB / 8.52GB;1.57TB / 3.89TB
2026-09-07T17:54:03+00:00;tb-kafka-1;6.40%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:54:16+00:00;tb-thingsboard-ce-1;19.26%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:54:16+00:00;tb-postgres-1;53.46%;4.265GiB / 15.57GiB;27.40%;22.1GB / 8.52GB;1.57TB / 3.89TB
2026-09-07T17:54:16+00:00;tb-kafka-1;7.99%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:54:28+00:00;tb-thingsboard-ce-1;15.36%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:54:28+00:00;tb-postgres-1;7.34%;4.259GiB / 15.57GiB;27.36%;22.1GB / 8.52GB;1.57TB / 3.89TB
2026-09-07T17:54:28+00:00;tb-kafka-1;5.98%;1.458GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:54:40+00:00;tb-thingsboard-ce-1;14.09%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:54:40+00:00;tb-postgres-1;0.11%;4.26GiB / 15.57GiB;27.37%;22.1GB / 8.52GB;1.57TB / 3.89TB
2026-09-07T17:54:40+00:00;tb-kafka-1;11.01%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:54:52+00:00;tb-thingsboard-ce-1;16.98%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:54:52+00:00;tb-postgres-1;0.73%;4.255GiB / 15.57GiB;27.33%;22.1GB / 8.52GB;1.57TB / 3.89TB
2026-09-07T17:54:52+00:00;tb-kafka-1;5.59%;1.458GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:55:04+00:00;tb-thingsboard-ce-1;19.27%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:55:04+00:00;tb-postgres-1;146.97%;4.256GiB / 15.57GiB;27.34%;22.1GB / 8.52GB;1.57TB / 3.89TB
2026-09-07T17:55:04+00:00;tb-kafka-1;9.83%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:55:16+00:00;tb-thingsboard-ce-1;16.85%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:55:16+00:00;tb-postgres-1;0.02%;4.256GiB / 15.57GiB;27.34%;22.1GB / 8.52GB;1.57TB / 3.89TB
2026-09-07T17:55:16+00:00;tb-kafka-1;5.86%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:55:28+00:00;tb-thingsboard-ce-1;28.14%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:55:28+00:00;tb-postgres-1;4.44%;4.257GiB / 15.57GiB;27.35%;22.1GB / 8.52GB;1.57TB / 3.89TB
2026-09-07T17:55:28+00:00;tb-kafka-1;10.43%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.1GB;923MB / 11.9GB
2026-09-07T17:55:41+00:00;tb-thingsboard-ce-1;19.45%;1.988GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:55:41+00:00;tb-postgres-1;1.64%;4.258GiB / 15.57GiB;27.36%;22.1GB / 8.53GB;1.57TB / 3.89TB
2026-09-07T17:55:41+00:00;tb-kafka-1;5.94%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:55:53+00:00;tb-thingsboard-ce-1;17.08%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:55:53+00:00;tb-postgres-1;0.07%;4.252GiB / 15.57GiB;27.32%;22.1GB / 8.53GB;1.57TB / 3.89TB
2026-09-07T17:55:53+00:00;tb-kafka-1;5.30%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:56:05+00:00;tb-thingsboard-ce-1;17.39%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:56:05+00:00;tb-postgres-1;20.44%;4.248GiB / 15.57GiB;27.29%;22.1GB / 8.53GB;1.57TB / 3.89TB
2026-09-07T17:56:05+00:00;tb-kafka-1;11.92%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:56:17+00:00;tb-thingsboard-ce-1;14.21%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:56:17+00:00;tb-postgres-1;3.95%;4.248GiB / 15.57GiB;27.29%;22.1GB / 8.53GB;1.57TB / 3.89TB
2026-09-07T17:56:17+00:00;tb-kafka-1;6.79%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:56:29+00:00;tb-thingsboard-ce-1;48.69%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72MB
2026-09-07T17:56:29+00:00;tb-postgres-1;172.28%;4.239GiB / 15.57GiB;27.23%;22.1GB / 8.53GB;1.57TB / 3.89TB
2026-09-07T17:56:29+00:00;tb-kafka-1;6.32%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:56:41+00:00;tb-thingsboard-ce-1;15.95%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72.1MB
2026-09-07T17:56:41+00:00;tb-postgres-1;1.89%;4.24GiB / 15.57GiB;27.24%;22.1GB / 8.53GB;1.57TB / 3.89TB
2026-09-07T17:56:41+00:00;tb-kafka-1;5.97%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:56:53+00:00;tb-thingsboard-ce-1;27.09%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72.1MB
2026-09-07T17:56:53+00:00;tb-postgres-1;0.61%;4.236GiB / 15.57GiB;27.21%;22.1GB / 8.53GB;1.57TB / 3.89TB
2026-09-07T17:56:53+00:00;tb-kafka-1;9.67%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:57:06+00:00;tb-thingsboard-ce-1;16.82%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72.1MB
2026-09-07T17:57:06+00:00;tb-postgres-1;1.13%;4.242GiB / 15.57GiB;27.25%;22.1GB / 8.53GB;1.57TB / 3.89TB
2026-09-07T17:57:06+00:00;tb-kafka-1;6.74%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:57:18+00:00;tb-thingsboard-ce-1;15.34%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72.1MB
2026-09-07T17:57:18+00:00;tb-postgres-1;4.23%;4.243GiB / 15.57GiB;27.26%;22.1GB / 8.53GB;1.57TB / 3.89TB
2026-09-07T17:57:18+00:00;tb-kafka-1;6.24%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:57:30+00:00;tb-thingsboard-ce-1;46.61%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72.1MB
2026-09-07T17:57:30+00:00;tb-postgres-1;35.72%;4.236GiB / 15.57GiB;27.21%;22.1GB / 8.53GB;1.57TB / 3.89TB
2026-09-07T17:57:30+00:00;tb-kafka-1;6.37%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:57:42+00:00;tb-thingsboard-ce-1;15.03%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39GB;242MB / 72.1MB
2026-09-07T17:57:42+00:00;tb-postgres-1;1.83%;4.237GiB / 15.57GiB;27.22%;22.1GB / 8.54GB;1.57TB / 3.89TB
2026-09-07T17:57:42+00:00;tb-kafka-1;5.97%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:57:54+00:00;tb-thingsboard-ce-1;15.44%;1.987GiB / 15.57GiB;12.76%;23.3GB / 39GB;242MB / 72.1MB
2026-09-07T17:57:54+00:00;tb-postgres-1;174.80%;4.237GiB / 15.57GiB;27.22%;22.1GB / 8.54GB;1.57TB / 3.89TB
2026-09-07T17:57:54+00:00;tb-kafka-1;12.42%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:58:06+00:00;tb-thingsboard-ce-1;15.28%;1.987GiB / 15.57GiB;12.76%;23.3GB / 39.1GB;242MB / 72.1MB
2026-09-07T17:58:06+00:00;tb-postgres-1;1.68%;4.228GiB / 15.57GiB;27.16%;22.1GB / 8.54GB;1.57TB / 3.89TB
2026-09-07T17:58:06+00:00;tb-kafka-1;6.01%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:58:18+00:00;tb-thingsboard-ce-1;26.39%;1.987GiB / 15.57GiB;12.77%;23.3GB / 39.1GB;242MB / 72.1MB
2026-09-07T17:58:18+00:00;tb-postgres-1;46.41%;4.232GiB / 15.57GiB;27.19%;22.1GB / 8.54GB;1.57TB / 3.89TB
2026-09-07T17:58:18+00:00;tb-kafka-1;6.14%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:58:31+00:00;tb-thingsboard-ce-1;14.17%;1.987GiB / 15.57GiB;12.76%;23.3GB / 39.1GB;242MB / 72.1MB
2026-09-07T17:58:31+00:00;tb-postgres-1;0.17%;4.233GiB / 15.57GiB;27.19%;22.1GB / 8.54GB;1.57TB / 3.89TB
2026-09-07T17:58:31+00:00;tb-kafka-1;9.57%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:58:43+00:00;tb-thingsboard-ce-1;14.14%;1.987GiB / 15.57GiB;12.76%;23.3GB / 39.1GB;242MB / 72.1MB
2026-09-07T17:58:43+00:00;tb-postgres-1;0.15%;4.237GiB / 15.57GiB;27.22%;22.1GB / 8.54GB;1.57TB / 3.89TB
2026-09-07T17:58:43+00:00;tb-kafka-1;6.38%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:58:55+00:00;tb-thingsboard-ce-1;15.80%;1.986GiB / 15.57GiB;12.76%;23.3GB / 39.1GB;242MB / 72.1MB
2026-09-07T17:58:55+00:00;tb-postgres-1;169.78%;4.241GiB / 15.57GiB;27.24%;22.1GB / 8.54GB;1.57TB / 3.89TB
2026-09-07T17:58:55+00:00;tb-kafka-1;6.12%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
2026-09-07T17:59:07+00:00;tb-thingsboard-ce-1;16.45%;1.987GiB / 15.57GiB;12.76%;23.3GB / 39.1GB;242MB / 72.1MB
2026-09-07T17:59:07+00:00;tb-postgres-1;0.14%;4.241GiB / 15.57GiB;27.25%;22.1GB / 8.54GB;1.57TB / 3.89TB
2026-09-07T17:59:07+00:00;tb-kafka-1;6.02%;1.459GiB / 15.57GiB;9.37%;16.5GB / 13.2GB;923MB / 11.9GB
