timestamp;load_1m;cpu_total_pct;iowait_pct;ram_total_mb;ram_used_mb;ram_available_mb;swap_total_mb;swap_used_mb;root_disk_used_pct
2026-09-04T16:19:05+00:00;0.21;1.04;0.00;15939;8383;7556;0;0;15%
2026-09-04T16:19:17+00:00;0.18;7.83;0.59;15939;8389;7549;0;0;15%
2026-09-04T16:19:29+00:00;0.22;5.12;0.52;15939;8390;7549;0;0;15%
2026-09-04T16:19:41+00:00;0.18;5.34;0.54;15939;8394;7544;0;0;15%
2026-09-04T16:19:53+00:00;0.14;5.60;1.32;15939;8400;7538;0;0;15%
2026-09-04T16:20:05+00:00;0.20;4.13;0.41;15939;8380;7558;0;0;15%
2026-09-04T16:20:18+00:00;0.17;6.07;0.59;15939;8386;7553;0;0;15%
2026-09-04T16:20:30+00:00;0.33;5.81;0.48;15939;8388;7551;0;0;15%
2026-09-04T16:20:42+00:00;0.28;5.50;0.57;15939;8400;7539;0;0;15%
2026-09-04T16:20:54+00:00;0.37;4.39;0.46;15939;8393;7546;0;0;15%
2026-09-04T16:21:06+00:00;0.39;5.00;0.48;15939;8394;7544;0;0;15%
2026-09-04T16:21:18+00:00;0.51;5.41;0.63;15939;8390;7548;0;0;15%
2026-09-04T16:21:30+00:00;0.43;4.68;0.48;15939;8396;7542;0;0;15%
2026-09-04T16:21:42+00:00;0.36;5.64;0.63;15939;8396;7543;0;0;15%
2026-09-04T16:21:54+00:00;0.28;4.32;0.50;15939;8394;7545;0;0;15%
2026-09-04T16:22:07+00:00;0.24;5.90;0.59;15939;8391;7548;0;0;15%
2026-09-04T16:22:19+00:00;0.18;4.47;0.46;15939;8390;7549;0;0;15%
2026-09-04T16:22:31+00:00;0.16;4.49;0.48;15939;8402;7537;0;0;15%
2026-09-04T16:22:43+00:00;0.34;5.63;0.63;15939;8408;7531;0;0;15%
2026-09-04T16:22:55+00:00;0.28;4.91;0.50;15939;8409;7530;0;0;15%
2026-09-04T16:23:07+00:00;0.24;6.40;1.08;15939;8407;7532;0;0;15%
2026-09-04T16:23:19+00:00;0.27;4.78;0.41;15939;8405;7534;0;0;15%
2026-09-04T16:23:31+00:00;0.22;5.80;0.54;15939;8411;7528;0;0;15%
2026-09-04T16:23:43+00:00;0.17;4.63;0.57;15939;8405;7533;0;0;15%
