timestamp;container;cpu;mem_usage;mem_percent;net_io;block_io
2026-09-07T16:38:08+00:00;tb-thingsboard-ce-1;16.98%;1.985GiB / 15.57GiB;12.75%;22.6GB / 37.8GB;241MB / 71.2MB
2026-09-07T16:38:08+00:00;tb-postgres-1;0.10%;4.255GiB / 15.57GiB;27.33%;21.2GB / 8.2GB;1.57TB / 3.89TB
2026-09-07T16:38:08+00:00;tb-kafka-1;6.10%;1.389GiB / 15.57GiB;8.92%;16.2GB / 12.9GB;843MB / 11.6GB
2026-09-07T16:38:20+00:00;tb-thingsboard-ce-1;35.28%;1.984GiB / 15.57GiB;12.75%;22.6GB / 37.8GB;241MB / 71.2MB
2026-09-07T16:38:20+00:00;tb-postgres-1;0.89%;4.256GiB / 15.57GiB;27.34%;21.2GB / 8.2GB;1.57TB / 3.89TB
2026-09-07T16:38:20+00:00;tb-kafka-1;7.05%;1.389GiB / 15.57GiB;8.92%;16.2GB / 12.9GB;843MB / 11.6GB
2026-09-07T16:38:32+00:00;tb-thingsboard-ce-1;16.40%;1.984GiB / 15.57GiB;12.75%;22.7GB / 37.8GB;241MB / 71.2MB
2026-09-07T16:38:32+00:00;tb-postgres-1;0.74%;4.256GiB / 15.57GiB;27.34%;21.2GB / 8.2GB;1.57TB / 3.89TB
2026-09-07T16:38:32+00:00;tb-kafka-1;6.05%;1.389GiB / 15.57GiB;8.93%;16.2GB / 12.9GB;843MB / 11.6GB
2026-09-07T16:38:45+00:00;tb-thingsboard-ce-1;28.59%;1.984GiB / 15.57GiB;12.75%;22.7GB / 37.8GB;241MB / 71.2MB
2026-09-07T16:38:45+00:00;tb-postgres-1;110.87%;4.258GiB / 15.57GiB;27.35%;21.2GB / 8.2GB;1.57TB / 3.89TB
2026-09-07T16:38:45+00:00;tb-kafka-1;8.87%;1.389GiB / 15.57GiB;8.92%;16.2GB / 12.9GB;843MB / 11.6GB
2026-09-07T16:38:57+00:00;tb-thingsboard-ce-1;15.21%;1.984GiB / 15.57GiB;12.75%;22.7GB / 37.8GB;241MB / 71.2MB
2026-09-07T16:38:57+00:00;tb-postgres-1;0.74%;4.257GiB / 15.57GiB;27.35%;21.2GB / 8.2GB;1.57TB / 3.89TB
2026-09-07T16:38:57+00:00;tb-kafka-1;7.21%;1.389GiB / 15.57GiB;8.92%;16.2GB / 12.9GB;843MB / 11.6GB
2026-09-07T16:39:09+00:00;tb-thingsboard-ce-1;38.72%;1.984GiB / 15.57GiB;12.75%;22.7GB / 37.8GB;241MB / 71.2MB
