timestamp;container;cpu;mem_usage;mem_percent;net_io;block_io
2026-09-07T15:04:12+00:00;tb-thingsboard-ce-1;35.34%;1.979GiB / 15.57GiB;12.71%;22GB / 36.7GB;235MB / 70.3MB
2026-09-07T15:04:12+00:00;tb-postgres-1;1.86%;4.224GiB / 15.57GiB;27.14%;20.5GB / 7.91GB;1.57TB / 3.88TB
2026-09-07T15:04:12+00:00;tb-kafka-1;5.27%;1.675GiB / 15.57GiB;10.76%;15.9GB / 12.6GB;843MB / 11.4GB
2026-09-07T15:04:24+00:00;tb-thingsboard-ce-1;15.14%;1.979GiB / 15.57GiB;12.71%;22GB / 36.7GB;235MB / 70.3MB
2026-09-07T15:04:24+00:00;tb-postgres-1;1.67%;4.224GiB / 15.57GiB;27.14%;20.5GB / 7.91GB;1.57TB / 3.88TB
2026-09-07T15:04:24+00:00;tb-kafka-1;6.83%;1.675GiB / 15.57GiB;10.76%;15.9GB / 12.6GB;843MB / 11.4GB
2026-09-07T15:04:36+00:00;tb-thingsboard-ce-1;36.24%;1.979GiB / 15.57GiB;12.71%;22GB / 36.7GB;235MB / 70.3MB
2026-09-07T15:04:36+00:00;tb-postgres-1;93.59%;4.224GiB / 15.57GiB;27.14%;20.5GB / 7.91GB;1.57TB / 3.88TB
2026-09-07T15:04:36+00:00;tb-kafka-1;6.68%;1.675GiB / 15.57GiB;10.76%;15.9GB / 12.6GB;843MB / 11.4GB
2026-09-07T15:04:48+00:00;tb-thingsboard-ce-1;14.37%;1.979GiB / 15.57GiB;12.71%;22GB / 36.7GB;235MB / 70.3MB
2026-09-07T15:04:48+00:00;tb-postgres-1;0.13%;4.224GiB / 15.57GiB;27.14%;20.5GB / 7.91GB;1.57TB / 3.88TB
2026-09-07T15:04:48+00:00;tb-kafka-1;6.31%;1.674GiB / 15.57GiB;10.76%;15.9GB / 12.6GB;843MB / 11.4GB
2026-09-07T15:05:00+00:00;tb-thingsboard-ce-1;18.28%;1.978GiB / 15.57GiB;12.71%;22GB / 36.7GB;235MB / 70.3MB
2026-09-07T15:05:00+00:00;tb-postgres-1;14.93%;4.226GiB / 15.57GiB;27.15%;20.5GB / 7.91GB;1.57TB / 3.88TB
2026-09-07T15:05:00+00:00;tb-kafka-1;7.19%;1.675GiB / 15.57GiB;10.76%;15.9GB / 12.6GB;843MB / 11.4GB
2026-09-07T15:05:12+00:00;tb-thingsboard-ce-1;15.47%;1.978GiB / 15.57GiB;12.71%;22GB / 36.7GB;235MB / 70.3MB
