timestamp;load_1m;cpu_total_pct;iowait_pct;ram_total_mb;ram_used_mb;ram_available_mb;swap_total_mb;swap_used_mb;root_disk_used_pct
2026-09-07T15:04:12+00:00;0.07;2.33;0.26;15939;9933;6005;0;0;27%
2026-09-07T15:04:24+00:00;0.05;10.19;0.93;15939;9925;6014;0;0;27%
2026-09-07T15:04:36+00:00;0.04;7.83;0.59;15939;9917;6021;0;0;27%
2026-09-07T15:04:48+00:00;0.04;10.48;0.92;15939;9929;6012;0;0;27%
2026-09-07T15:05:00+00:00;0.03;7.52;0.48;15939;9925;6013;0;0;27%
2026-09-07T15:05:12+00:00;0.02;9.77;0.63;15939;9940;5999;0;0;27%
2026-09-07T15:05:24+00:00;0.02;10.17;0.95;15939;9935;6004;0;0;27%
2026-09-07T15:05:36+00:00;0.16;8.43;0.57;15939;9937;6002;0;0;27%
2026-09-07T15:05:49+00:00;0.26;10.77;1.04;15939;9938;6001;0;0;27%
2026-09-07T15:06:01+00:00;0.22;7.86;0.52;15939;9931;6008;0;0;27%
2026-09-07T15:06:13+00:00;0.19;10.15;0.65;15939;9896;6043;0;0;27%
2026-09-07T15:06:25+00:00;0.14;7.12;0.56;15939;9914;6025;0;0;27%
2026-09-07T15:06:37+00:00;0.12;8.87;0.89;15939;9931;6008;0;0;27%
2026-09-07T15:06:49+00:00;0.09;9.09;0.58;15939;9899;6040;0;0;27%
2026-09-07T15:07:01+00:00;1.36;20.42;0.58;15939;9980;5958;0;0;27%
2026-09-07T15:07:13+00:00;1.15;9.49;0.67;15939;9974;5964;0;0;27%
2026-09-07T15:07:26+00:00;0.90;6.93;0.50;15939;9994;5944;0;0;27%
2026-09-07T15:07:38+00:00;0.91;10.17;1.02;15939;10007;5931;0;0;27%
2026-09-07T15:07:50+00:00;0.71;10.77;0.50;15939;10010;5928;0;0;27%
2026-09-07T15:08:02+00:00;0.60;7.80;0.80;15939;10012;5927;0;0;27%
2026-09-07T15:08:14+00:00;0.47;9.16;0.71;15939;10008;5931;0;0;27%
2026-09-07T15:08:26+00:00;0.47;6.79;0.54;15939;10007;5932;0;0;27%
2026-09-07T15:08:38+00:00;0.40;9.92;1.26;15939;10010;5928;0;0;27%
2026-09-07T15:08:50+00:00;0.31;7.12;0.52;15939;10002;5937;0;0;27%
2026-09-07T15:09:02+00:00;0.26;9.94;0.67;15939;10009;5929;0;0;27%
2026-09-07T15:09:15+00:00;0.34;8.43;1.15;15939;10000;5939;0;0;27%
2026-09-07T15:09:27+00:00;0.29;8.05;0.65;15939;10010;5928;0;0;27%
2026-09-07T15:09:39+00:00;0.22;9.95;0.95;15939;10017;5922;0;0;27%
2026-09-07T15:09:51+00:00;0.27;7.17;0.48;15939;10008;5930;0;0;27%
2026-09-07T15:10:03+00:00;0.23;13.89;0.76;15939;10009;5930;0;0;27%
2026-09-07T15:10:15+00:00;0.45;7.25;0.74;15939;10009;5929;0;0;27%
2026-09-07T15:10:27+00:00;0.38;9.96;0.76;15939;10017;5922;0;0;27%
2026-09-07T15:10:39+00:00;0.30;8.48;1.26;15939;10010;5928;0;0;27%
2026-09-07T15:10:52+00:00;0.25;7.32;0.56;15939;10006;5932;0;0;27%
2026-09-07T15:11:04+00:00;0.20;9.93;0.67;15939;9995;5944;0;0;27%
2026-09-07T15:11:16+00:00;0.16;7.14;0.56;15939;10003;5935;0;0;27%
2026-09-07T15:11:28+00:00;0.14;9.80;0.87;15939;10000;5939;0;0;27%
2026-09-07T15:11:40+00:00;0.33;7.50;0.56;15939;10001;5937;0;0;27%
2026-09-07T15:11:52+00:00;0.28;8.48;0.56;15939;10005;5933;0;0;27%
2026-09-07T15:12:04+00:00;0.22;8.51;0.63;15939;10020;5918;0;0;27%
2026-09-07T15:12:16+00:00;0.18;7.18;0.48;15939;10015;5923;0;0;27%
2026-09-07T15:12:29+00:00;0.55;9.43;0.65;15939;10022;5917;0;0;27%
2026-09-07T15:12:41+00:00;0.46;7.77;0.61;15939;10011;5928;0;0;27%
2026-09-07T15:12:53+00:00;0.39;10.68;1.41;15939;10006;5933;0;0;27%
2026-09-07T15:13:05+00:00;0.30;7.12;0.52;15939;10017;5922;0;0;27%
2026-09-07T15:13:17+00:00;0.26;8.36;0.78;15939;10023;5915;0;0;27%
2026-09-07T15:13:29+00:00;0.20;8.41;0.65;15939;10020;5918;0;0;27%
2026-09-07T15:13:41+00:00;0.17;7.70;0.63;15939;10021;5917;0;0;27%
2026-09-07T15:13:53+00:00;0.14;9.44;0.91;15939;10026;5912;0;0;27%
2026-09-07T15:14:06+00:00;0.11;7.53;0.69;15939;10011;5927;0;0;27%
2026-09-07T15:14:18+00:00;0.09;9.52;1.02;15939;9998;5940;0;0;27%
2026-09-07T15:14:30+00:00;0.14;6.70;0.48;15939;9997;5941;0;0;27%
2026-09-07T15:14:42+00:00;0.12;7.81;0.65;15939;9996;5942;0;0;27%
2026-09-07T15:14:54+00:00;0.09;8.60;0.78;15939;9998;5941;0;0;27%
2026-09-07T15:15:06+00:00;0.08;7.25;0.63;15939;9998;5940;0;0;27%
2026-09-07T15:15:18+00:00;0.06;9.20;1.11;15939;10001;5937;0;0;27%
2026-09-07T15:15:30+00:00;0.05;7.33;0.57;15939;9988;5950;0;0;27%
2026-09-07T15:15:43+00:00;0.12;10.35;1.30;15939;10003;5936;0;0;27%
2026-09-07T15:15:55+00:00;0.09;7.02;0.50;15939;10004;5935;0;0;27%
2026-09-07T15:16:07+00:00;0.08;7.06;0.59;15939;9992;5947;0;0;27%
2026-09-07T15:16:19+00:00;0.06;9.61;0.74;15939;9987;5951;0;0;27%
2026-09-07T15:16:31+00:00;0.05;6.91;0.61;15939;9994;5945;0;0;27%
2026-09-07T15:16:43+00:00;0.04;10.18;0.85;15939;10001;5938;0;0;27%
