timestamp;load_1m;cpu_total_pct;iowait_pct;ram_total_mb;ram_used_mb;ram_available_mb;swap_total_mb;swap_used_mb;root_disk_used_pct
2026-09-07T16:38:08+00:00;0.01;2.08;0.26;15939;9921;6017;0;0;27%
2026-09-07T16:38:20+00:00;0.14;10.64;1.02;15939;9931;6008;0;0;27%
2026-09-07T16:38:32+00:00;0.12;12.55;0.76;15939;9922;6017;0;0;27%
2026-09-07T16:38:45+00:00;0.43;9.04;0.69;15939;9917;6021;0;0;27%
2026-09-07T16:38:57+00:00;0.36;13.45;0.93;15939;9935;6004;0;0;27%
2026-09-07T16:39:09+00:00;0.31;9.33;0.65;15939;9936;6003;0;0;27%
2026-09-07T16:39:21+00:00;0.24;13.45;0.65;15939;9933;6006;0;0;27%
2026-09-07T16:39:33+00:00;0.20;9.69;0.74;15939;9934;6004;0;0;27%
2026-09-07T16:39:45+00:00;0.22;9.06;0.50;15939;9944;5995;0;0;27%
2026-09-07T16:39:57+00:00;0.19;13.27;0.76;15939;9922;6016;0;0;27%
2026-09-07T16:40:10+00:00;0.24;9.16;0.67;15939;9928;6010;0;0;27%
2026-09-07T16:40:22+00:00;0.53;14.65;0.74;15939;9938;6000;0;0;27%
2026-09-07T16:40:34+00:00;0.45;9.13;0.89;15939;9932;6007;0;0;27%
2026-09-07T16:40:46+00:00;0.35;12.23;0.65;15939;9929;6009;0;0;27%
2026-09-07T16:40:58+00:00;0.46;10.41;1.08;15939;9939;6000;0;0;27%
2026-09-07T16:41:10+00:00;0.43;9.30;0.57;15939;9936;6002;0;0;27%
2026-09-07T16:41:22+00:00;0.37;12.91;0.70;15939;9928;6011;0;0;27%
2026-09-07T16:41:35+00:00;0.39;9.13;0.63;15939;9935;6004;0;0;27%
2026-09-07T16:41:47+00:00;0.30;13.23;0.78;15939;9938;6001;0;0;27%
2026-09-07T16:41:59+00:00;0.26;9.65;1.37;15939;9936;6002;0;0;27%
2026-09-07T16:42:11+00:00;0.20;11.94;0.61;15939;9932;6006;0;0;27%
2026-09-07T16:42:23+00:00;0.24;10.44;0.80;15939;9932;6006;0;0;27%
2026-09-07T16:42:35+00:00;0.19;9.18;0.59;15939;9932;6006;0;0;27%
2026-09-07T16:42:47+00:00;0.24;13.38;0.65;15939;9944;5995;0;0;27%
2026-09-07T16:42:59+00:00;0.20;8.90;0.52;15939;9935;6004;0;0;27%
2026-09-07T16:43:12+00:00;0.16;13.75;1.37;15939;9937;6002;0;0;27%
2026-09-07T16:43:24+00:00;0.28;9.96;0.61;15939;9914;6024;0;0;27%
2026-09-07T16:43:36+00:00;0.52;12.26;0.77;15939;9931;6008;0;0;27%
2026-09-07T16:43:48+00:00;1.00;10.94;0.56;15939;9937;6002;0;0;27%
2026-09-07T16:44:00+00:00;1.02;9.16;0.54;15939;9935;6004;0;0;27%
2026-09-07T16:44:12+00:00;0.93;13.04;0.65;15939;9941;5998;0;0;27%
2026-09-07T16:44:24+00:00;0.79;9.89;0.59;15939;9949;5990;0;0;27%
2026-09-07T16:44:37+00:00;0.75;12.25;0.96;15939;9949;5989;0;0;27%
2026-09-07T16:44:49+00:00;0.63;9.63;0.59;15939;9956;5983;0;0;27%
2026-09-07T16:45:01+00:00;0.49;11.14;0.77;15939;9951;5988;0;0;27%
2026-09-07T16:45:13+00:00;0.50;10.84;1.02;15939;9949;5990;0;0;27%
2026-09-07T16:45:25+00:00;0.39;10.49;0.54;15939;9953;5985;0;0;27%
2026-09-07T16:45:37+00:00;0.33;13.05;0.89;15939;9948;5990;0;0;27%
2026-09-07T16:45:49+00:00;0.28;9.48;0.63;15939;9945;5993;0;0;27%
2026-09-07T16:46:02+00:00;0.21;12.76;0.93;15939;9950;5989;0;0;27%
2026-09-07T16:46:14+00:00;0.34;9.25;0.56;15939;9945;5994;0;0;27%
2026-09-07T16:46:26+00:00;0.26;12.12;0.67;15939;9950;5989;0;0;27%
2026-09-07T16:46:38+00:00;0.22;10.47;0.72;15939;9950;5989;0;0;27%
2026-09-07T16:46:50+00:00;0.17;10.96;1.22;15939;9945;5994;0;0;27%
2026-09-07T16:47:02+00:00;0.15;12.73;0.76;15939;9943;5995;0;0;27%
2026-09-07T16:47:14+00:00;0.12;9.70;0.87;15939;9955;5983;0;0;27%
2026-09-07T16:47:27+00:00;0.18;12.89;0.72;15939;9943;5995;0;0;27%
2026-09-07T16:47:39+00:00;0.15;9.19;0.61;15939;9942;5996;0;0;27%
2026-09-07T16:47:51+00:00;0.26;12.69;1.16;15939;9949;5990;0;0;27%
2026-09-07T16:48:03+00:00;0.22;11.93;0.65;15939;9921;6017;0;0;27%
2026-09-07T16:48:15+00:00;0.17;9.65;0.63;15939;9938;6001;0;0;27%
2026-09-07T16:48:27+00:00;0.14;13.74;1.13;15939;9935;6003;0;0;27%
2026-09-07T16:48:39+00:00;0.12;9.52;0.61;15939;9945;5993;0;0;27%
2026-09-07T16:48:52+00:00;0.23;13.08;1.02;15939;9957;5981;0;0;27%
2026-09-07T16:49:04+00:00;0.19;9.24;0.63;15939;9939;5999;0;0;27%
2026-09-07T16:49:16+00:00;0.15;10.55;0.54;15939;9953;5986;0;0;27%
2026-09-07T16:49:28+00:00;0.28;12.47;0.80;15939;9962;5976;0;0;27%
2026-09-07T16:49:40+00:00;0.29;11.25;0.63;15939;9972;5966;0;0;27%
2026-09-07T16:49:52+00:00;0.25;14.15;1.15;15939;9976;5962;0;0;27%
2026-09-07T16:50:04+00:00;0.21;9.98;0.72;15939;9973;5966;0;0;27%
2026-09-07T16:50:16+00:00;0.16;13.81;0.68;15939;9978;5960;0;0;27%
2026-09-07T16:50:28+00:00;0.14;14.24;0.83;15939;9996;5942;0;0;27%
2026-09-07T16:50:40+00:00;0.12;10.39;0.72;15939;9982;5957;0;0;27%
2026-09-07T16:50:52+00:00;0.16;13.55;0.94;15939;9993;5945;0;0;27%
2026-09-07T16:51:04+00:00;0.13;10.25;1.04;15939;9992;5947;0;0;27%
2026-09-07T16:51:16+00:00;0.10;13.20;0.71;15939;9980;5958;0;0;27%
2026-09-07T16:51:28+00:00;0.09;10.13;0.63;15939;9996;5943;0;0;27%
2026-09-07T16:51:40+00:00;0.07;10.24;0.89;15939;9985;5954;0;0;27%
2026-09-07T16:51:52+00:00;0.06;13.04;0.74;15939;9986;5952;0;0;27%
2026-09-07T16:52:05+00:00;0.12;9.83;0.94;15939;9989;5950;0;0;27%
2026-09-07T16:52:17+00:00;0.17;24.79;0.59;15939;10060;5879;0;0;27%
2026-09-07T16:52:29+00:00;0.14;11.19;0.56;15939;10068;5871;0;0;27%
2026-09-07T16:52:41+00:00;0.11;11.08;0.78;15939;10065;5874;0;0;27%
2026-09-07T16:52:53+00:00;0.33;9.93;0.61;15939;10049;5890;0;0;27%
2026-09-07T16:53:05+00:00;0.26;9.30;0.54;15939;10037;5902;0;0;27%
