timestamp;container;cpu;mem_usage;mem_percent;net_io;block_io
2026-09-07T12:43:47+00:00;tb-thingsboard-ce-1;15.90%;1.963GiB / 15.57GiB;12.61%;21.2GB / 35.2GB;220MB / 66.2MB
2026-09-07T12:43:47+00:00;tb-postgres-1;0.10%;4.27GiB / 15.57GiB;27.43%;19.5GB / 7.56GB;1.57TB / 3.88TB
2026-09-07T12:43:47+00:00;tb-kafka-1;5.87%;1.442GiB / 15.57GiB;9.27%;15.4GB / 12.2GB;661MB / 10.9GB
2026-09-07T12:43:59+00:00;tb-thingsboard-ce-1;15.50%;1.963GiB / 15.57GiB;12.61%;21.2GB / 35.2GB;220MB / 66.2MB
2026-09-07T12:43:59+00:00;tb-postgres-1;0.93%;4.269GiB / 15.57GiB;27.43%;19.5GB / 7.56GB;1.57TB / 3.88TB
2026-09-07T12:43:59+00:00;tb-kafka-1;9.10%;1.442GiB / 15.57GiB;9.26%;15.4GB / 12.2GB;661MB / 10.9GB
2026-09-07T12:44:11+00:00;tb-thingsboard-ce-1;14.49%;1.963GiB / 15.57GiB;12.61%;21.2GB / 35.2GB;220MB / 66.2MB
2026-09-07T12:44:11+00:00;tb-postgres-1;1.00%;4.269GiB / 15.57GiB;27.42%;19.6GB / 7.56GB;1.57TB / 3.88TB
2026-09-07T12:44:11+00:00;tb-kafka-1;5.81%;1.442GiB / 15.57GiB;9.26%;15.4GB / 12.2GB;661MB / 10.9GB
2026-09-07T12:44:23+00:00;tb-thingsboard-ce-1;24.53%;1.963GiB / 15.57GiB;12.61%;21.2GB / 35.2GB;220MB / 66.2MB
2026-09-07T12:44:23+00:00;tb-postgres-1;42.07%;4.269GiB / 15.57GiB;27.43%;19.6GB / 7.56GB;1.57TB / 3.88TB
2026-09-07T12:44:23+00:00;tb-kafka-1;5.30%;1.442GiB / 15.57GiB;9.26%;15.4GB / 12.2GB;661MB / 10.9GB
2026-09-07T12:44:35+00:00;tb-thingsboard-ce-1;16.25%;1.963GiB / 15.57GiB;12.61%;21.2GB / 35.2GB;220MB / 66.2MB
2026-09-07T12:44:35+00:00;tb-postgres-1;1.92%;4.269GiB / 15.57GiB;27.43%;19.6GB / 7.56GB;1.57TB / 3.88TB
2026-09-07T12:44:35+00:00;tb-kafka-1;6.95%;1.442GiB / 15.57GiB;9.26%;15.4GB / 12.2GB;661MB / 10.9GB
