timestamp;load_1m;cpu_total_pct;iowait_pct;ram_total_mb;ram_used_mb;ram_available_mb;swap_total_mb;swap_used_mb;root_disk_used_pct
2026-09-07T12:43:47+00:00;0.02;1.82;0.26;15939;9811;6128;0;0;26%
2026-09-07T12:43:59+00:00;0.02;5.44;0.71;15939;9806;6132;0;0;26%
2026-09-07T12:44:11+00:00;0.01;6.66;0.54;15939;9810;6128;0;0;26%
2026-09-07T12:44:23+00:00;0.09;5.15;0.56;15939;9810;6128;0;0;26%
2026-09-07T12:44:35+00:00;0.16;6.35;0.65;15939;9810;6129;0;0;26%
2026-09-07T12:44:48+00:00;0.12;4.95;0.52;15939;9812;6126;0;0;26%
2026-09-07T12:45:00+00:00;0.10;5.34;0.74;15939;9809;6130;0;0;26%
2026-09-07T12:45:12+00:00;0.09;6.62;0.54;15939;9813;6125;0;0;26%
2026-09-07T12:45:24+00:00;0.50;5.65;0.96;15939;9800;6138;0;0;26%
2026-09-07T12:45:36+00:00;0.43;6.56;0.80;15939;9806;6133;0;0;26%
2026-09-07T12:45:48+00:00;0.33;4.88;0.50;15939;9802;6137;0;0;26%
2026-09-07T12:46:00+00:00;0.28;6.53;0.82;15939;9813;6126;0;0;26%
2026-09-07T12:46:12+00:00;0.22;5.70;0.50;15939;9804;6135;0;0;26%
2026-09-07T12:46:24+00:00;0.18;5.15;0.59;15939;9809;6130;0;0;26%
2026-09-07T12:46:37+00:00;0.16;7.35;1.39;15939;9804;6134;0;0;26%
2026-09-07T12:46:49+00:00;0.28;5.37;0.56;15939;9804;6135;0;0;26%
2026-09-07T12:47:01+00:00;0.24;6.25;0.61;15939;9793;6146;0;0;26%
2026-09-07T12:47:13+00:00;0.41;5.34;0.48;15939;9801;6138;0;0;26%
2026-09-07T12:47:25+00:00;0.34;6.31;0.54;15939;9805;6134;0;0;26%
2026-09-07T12:47:37+00:00;0.27;5.56;0.59;15939;9801;6137;0;0;26%
2026-09-07T12:47:49+00:00;0.22;4.99;0.46;15939;9807;6132;0;0;26%
2026-09-07T12:48:01+00:00;0.19;6.82;0.69;15939;9808;6131;0;0;26%
2026-09-07T12:48:14+00:00;0.21;6.18;0.76;15939;9798;6141;0;0;26%
2026-09-07T12:48:25+00:00;0.18;5.51;0.57;15939;9792;6147;0;0;26%
2026-09-07T12:48:37+00:00;0.34;6.37;0.58;15939;9797;6141;0;0;26%
2026-09-07T12:48:49+00:00;0.29;5.25;0.91;15939;9806;6133;0;0;26%
2026-09-07T12:49:01+00:00;0.25;6.32;0.54;15939;9807;6132;0;0;26%
2026-09-07T12:49:13+00:00;0.27;5.78;0.85;15939;9807;6132;0;0;26%
