timestamp;container;status;restart_count;health
2026-09-04T16:24:32+00:00;tb-postgres-1;running;0;none
2026-09-04T16:24:32+00:00;tb-kafka-1;running;0;none
2026-09-04T16:24:44+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:24:44+00:00;tb-postgres-1;running;0;none
2026-09-04T16:24:44+00:00;tb-kafka-1;running;0;none
2026-09-04T16:24:56+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:24:56+00:00;tb-postgres-1;running;0;none
2026-09-04T16:24:56+00:00;tb-kafka-1;running;0;none
2026-09-04T16:25:08+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:25:08+00:00;tb-postgres-1;running;0;none
2026-09-04T16:25:08+00:00;tb-kafka-1;running;0;none
2026-09-04T16:25:20+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:25:20+00:00;tb-postgres-1;running;0;none
2026-09-04T16:25:20+00:00;tb-kafka-1;running;0;none
2026-09-04T16:25:33+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:25:33+00:00;tb-postgres-1;running;0;none
2026-09-04T16:25:33+00:00;tb-kafka-1;running;0;none
2026-09-04T16:25:45+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:25:45+00:00;tb-postgres-1;running;0;none
2026-09-04T16:25:45+00:00;tb-kafka-1;running;0;none
2026-09-04T16:25:57+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:25:57+00:00;tb-postgres-1;running;0;none
2026-09-04T16:25:57+00:00;tb-kafka-1;running;0;none
2026-09-04T16:26:09+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:26:09+00:00;tb-postgres-1;running;0;none
2026-09-04T16:26:09+00:00;tb-kafka-1;running;0;none
2026-09-04T16:26:21+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:26:21+00:00;tb-postgres-1;running;0;none
2026-09-04T16:26:21+00:00;tb-kafka-1;running;0;none
2026-09-04T16:26:33+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:26:33+00:00;tb-postgres-1;running;0;none
2026-09-04T16:26:33+00:00;tb-kafka-1;running;0;none
2026-09-04T16:26:45+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:26:45+00:00;tb-postgres-1;running;0;none
2026-09-04T16:26:45+00:00;tb-kafka-1;running;0;none
2026-09-04T16:26:57+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:26:57+00:00;tb-postgres-1;running;0;none
2026-09-04T16:26:57+00:00;tb-kafka-1;running;0;none
2026-09-04T16:27:09+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:27:09+00:00;tb-postgres-1;running;0;none
2026-09-04T16:27:09+00:00;tb-kafka-1;running;0;none
2026-09-04T16:27:22+00:00;tb-thingsboard-ce-1;running;0;none
2026-09-04T16:27:22+00:00;tb-postgres-1;running;0;none
2026-09-04T16:27:22+00:00;tb-kafka-1;running;0;none
