timestamp;load_1m;cpu_total_pct;iowait_pct;ram_total_mb;ram_used_mb;ram_available_mb;swap_total_mb;swap_used_mb;root_disk_used_pct
2026-09-07T13:08:50+00:00;0.13;27.15;1.31;15939;9737;6201;0;0;26%
2026-09-07T13:09:02+00:00;0.10;6.93;0.89;15939;9724;6214;0;0;26%
2026-09-07T13:09:15+00:00;0.09;9.40;1.10;15939;9755;6183;0;0;26%
2026-09-07T13:09:27+00:00;0.07;6.82;0.54;15939;9745;6194;0;0;26%
2026-09-07T13:09:39+00:00;0.06;7.03;0.65;15939;9746;6193;0;0;26%
2026-09-07T13:09:51+00:00;0.05;7.90;0.72;15939;9758;6180;0;0;26%
2026-09-07T13:10:03+00:00;0.12;9.49;0.67;15939;9742;6197;0;0;26%
2026-09-07T13:10:15+00:00;0.10;9.08;0.61;15939;9753;6186;0;0;26%
2026-09-07T13:10:27+00:00;0.15;8.14;1.32;15939;9767;6172;0;0;26%
2026-09-07T13:10:39+00:00;0.13;8.17;0.95;15939;9765;6173;0;0;26%
2026-09-07T13:10:52+00:00;0.18;7.60;0.50;15939;9761;6177;0;0;26%
2026-09-07T13:11:04+00:00;0.14;6.62;0.50;15939;9771;6167;0;0;26%
2026-09-07T13:11:16+00:00;0.12;9.32;0.72;15939;9759;6179;0;0;26%
2026-09-07T13:11:28+00:00;0.09;7.14;0.85;15939;9759;6180;0;0;26%
2026-09-07T13:11:40+00:00;0.08;8.78;0.76;15939;9774;6164;0;0;26%
2026-09-07T13:11:52+00:00;0.21;6.76;0.54;15939;9749;6190;0;0;26%
2026-09-07T13:12:04+00:00;0.18;8.24;0.97;15939;9759;6180;0;0;26%
2026-09-07T13:12:17+00:00;0.59;10.64;0.91;15939;9760;6179;0;0;26%
2026-09-07T13:12:29+00:00;0.46;6.82;0.67;15939;9737;6202;0;0;26%
2026-09-07T13:12:41+00:00;0.39;8.16;0.65;15939;9752;6187;0;0;26%
2026-09-07T13:12:53+00:00;0.30;6.89;0.74;15939;9736;6203;0;0;26%
2026-09-07T13:13:05+00:00;0.25;8.68;0.93;15939;9757;6181;0;0;26%
2026-09-07T13:13:17+00:00;0.33;6.43;0.54;15939;9755;6183;0;0;26%
2026-09-07T13:13:29+00:00;0.28;7.03;0.74;15939;9766;6172;0;0;26%
2026-09-07T13:13:41+00:00;0.24;8.06;0.59;15939;9772;6167;0;0;26%
2026-09-07T13:13:54+00:00;0.18;6.10;0.65;15939;9762;6176;0;0;26%
2026-09-07T13:14:06+00:00;0.16;8.40;0.81;15939;9774;6165;0;0;26%
2026-09-07T13:14:18+00:00;0.12;7.45;0.98;15939;9770;6168;0;0;26%
2026-09-07T13:14:30+00:00;0.10;9.28;0.82;15939;9762;6177;0;0;26%
2026-09-07T13:14:42+00:00;0.09;6.58;0.50;15939;9773;6165;0;0;26%
2026-09-07T13:14:54+00:00;0.14;6.56;0.50;15939;9774;6165;0;0;26%
2026-09-07T13:15:06+00:00;0.12;9.16;1.35;15939;9768;6171;0;0;26%
2026-09-07T13:15:18+00:00;0.09;6.75;0.50;15939;9777;6162;0;0;26%
2026-09-07T13:15:31+00:00;0.08;9.44;1.22;15939;9766;6173;0;0;26%
2026-09-07T13:15:43+00:00;0.13;6.43;0.61;15939;9773;6166;0;0;26%
2026-09-07T13:15:55+00:00;0.19;8.67;0.59;15939;9771;6167;0;0;26%
2026-09-07T13:16:07+00:00;0.16;6.83;0.80;15939;9772;6167;0;0;26%
2026-09-07T13:16:19+00:00;0.12;6.65;0.54;15939;9772;6167;0;0;26%
2026-09-07T13:16:31+00:00;0.10;8.93;0.87;15939;9769;6169;0;0;26%
2026-09-07T13:16:43+00:00;0.08;7.21;0.87;15939;9781;6157;0;0;26%
2026-09-07T13:16:55+00:00;0.07;8.75;0.83;15939;9781;6157;0;0;26%
2026-09-07T13:17:08+00:00;0.12;6.65;0.48;15939;9776;6163;0;0;26%
2026-09-07T13:17:20+00:00;1.14;20.46;0.76;15939;9822;6116;0;0;26%
2026-09-07T13:17:32+00:00;0.97;6.36;0.50;15939;9815;6124;0;0;26%
2026-09-07T13:17:44+00:00;1.31;6.49;0.52;15939;9834;6105;0;0;26%
2026-09-07T13:17:56+00:00;1.26;8.49;0.82;15939;9830;6108;0;0;26%
2026-09-07T13:18:08+00:00;1.14;6.55;0.54;15939;9835;6104;0;0;26%
2026-09-07T13:18:20+00:00;0.97;9.28;0.89;15939;9839;6099;0;0;26%
2026-09-07T13:18:32+00:00;0.75;6.31;0.59;15939;9834;6104;0;0;26%
2026-09-07T13:18:45+00:00;0.64;8.11;0.56;15939;9835;6104;0;0;26%
2026-09-07T13:18:57+00:00;0.54;6.41;0.74;15939;9828;6110;0;0;26%
2026-09-07T13:19:09+00:00;0.49;7.59;0.68;15939;9835;6104;0;0;26%
2026-09-07T13:19:21+00:00;0.42;9.65;1.20;15939;9830;6109;0;0;26%
2026-09-07T13:19:33+00:00;0.32;6.42;0.54;15939;9838;6101;0;0;26%
2026-09-07T13:19:45+00:00;0.35;8.98;0.61;15939;9836;6103;0;0;26%
2026-09-07T13:19:57+00:00;0.34;6.78;0.74;15939;9849;6090;0;0;26%
2026-09-07T13:20:10+00:00;0.36;8.51;0.75;15939;9843;6095;0;0;26%
2026-09-07T13:20:22+00:00;0.38;8.38;0.91;15939;9842;6097;0;0;26%
2026-09-07T13:20:34+00:00;0.30;7.19;0.96;15939;9838;6101;0;0;26%
2026-09-07T13:20:46+00:00;0.25;9.06;0.72;15939;9834;6105;0;0;26%
2026-09-07T13:20:58+00:00;0.20;6.65;0.63;15939;9834;6104;0;0;26%
2026-09-07T13:21:10+00:00;0.16;10.94;0.72;15939;9841;6098;0;0;26%
2026-09-07T13:21:22+00:00;0.21;6.73;0.43;15939;9844;6095;0;0;26%
2026-09-07T13:21:35+00:00;0.18;7.96;0.58;15939;9840;6098;0;0;26%
2026-09-07T13:21:47+00:00;0.15;6.94;0.54;15939;9841;6097;0;0;26%
2026-09-07T13:21:59+00:00;0.19;6.79;0.78;15939;9851;6088;0;0;26%
2026-09-07T13:22:11+00:00;0.16;9.00;0.80;15939;9849;6090;0;0;26%
2026-09-07T13:22:23+00:00;0.12;6.35;0.50;15939;9852;6087;0;0;26%
2026-09-07T13:22:35+00:00;0.10;8.55;0.69;15939;9846;6093;0;0;26%
2026-09-07T13:22:47+00:00;0.08;6.25;0.46;15939;9847;6092;0;0;26%
2026-09-07T13:23:00+00:00;0.07;7.62;0.78;15939;9853;6085;0;0;26%
2026-09-07T13:23:12+00:00;0.06;7.47;0.74;15939;9854;6085;0;0;26%
2026-09-07T13:23:24+00:00;0.04;6.74;0.52;15939;9849;6089;0;0;26%
2026-09-07T13:23:36+00:00;0.04;8.61;1.02;15939;9849;6090;0;0;26%
2026-09-07T13:23:48+00:00;0.03;6.82;0.65;15939;9856;6083;0;0;26%
