timestamp;load_1m;cpu_total_pct;iowait_pct;ram_total_mb;ram_used_mb;ram_available_mb;swap_total_mb;swap_used_mb;root_disk_used_pct
2026-09-07T17:52:14+00:00;3.80;2.61;0.26;15939;10004;5934;0;0;27%
2026-09-07T17:52:26+00:00;3.78;16.16;0.86;15939;9982;5957;0;0;27%
2026-09-07T17:52:39+00:00;3.67;12.69;0.80;15939;9995;5943;0;0;27%
2026-09-07T17:52:51+00:00;4.52;16.25;2.13;15939;10004;5935;0;0;27%
2026-09-07T17:53:03+00:00;4.27;12.58;0.69;15939;10007;5932;0;0;27%
2026-09-07T17:53:15+00:00;4.39;11.99;1.69;15939;10000;5939;0;0;27%
2026-09-07T17:53:27+00:00;4.45;16.64;0.85;15939;9996;5942;0;0;27%
2026-09-07T17:53:39+00:00;4.30;11.51;0.69;15939;9996;5942;0;0;27%
2026-09-07T17:53:51+00:00;4.47;16.26;1.74;15939;9998;5940;0;0;27%
2026-09-07T17:54:03+00:00;5.66;11.79;0.56;15939;9967;5971;0;0;27%
2026-09-07T17:54:16+00:00;6.69;14.31;1.14;15939;9973;5965;0;0;27%
2026-09-07T17:54:28+00:00;6.06;12.93;0.69;15939;9986;5953;0;0;27%
2026-09-07T17:54:40+00:00;5.96;11.52;0.63;15939;9966;5972;0;0;27%
2026-09-07T17:54:52+00:00;7.22;17.04;1.89;15939;9966;5973;0;0;27%
2026-09-07T17:55:04+00:00;7.60;11.53;0.76;15939;9970;5969;0;0;27%
2026-09-07T17:55:16+00:00;9.38;16.05;1.63;15939;9969;5970;0;0;27%
2026-09-07T17:55:28+00:00;8.91;11.91;0.59;15939;9964;5975;0;0;27%
2026-09-07T17:55:41+00:00;8.08;14.51;0.82;15939;9955;5984;0;0;27%
2026-09-07T17:55:53+00:00;7.30;13.90;1.77;15939;9959;5979;0;0;27%
2026-09-07T17:56:05+00:00;6.80;12.87;0.70;15939;9959;5980;0;0;27%
2026-09-07T17:56:17+00:00;7.88;16.89;1.76;15939;9964;5975;0;0;27%
2026-09-07T17:56:29+00:00;7.44;12.56;1.28;15939;9957;5981;0;0;27%
2026-09-07T17:56:41+00:00;6.73;15.64;0.74;15939;9956;5983;0;0;27%
2026-09-07T17:56:53+00:00;6.93;12.89;1.09;15939;9956;5982;0;0;27%
2026-09-07T17:57:06+00:00;6.32;14.83;0.71;15939;9955;5983;0;0;27%
2026-09-07T17:57:18+00:00;6.50;14.04;0.65;15939;9945;5993;0;0;27%
2026-09-07T17:57:30+00:00;6.13;17.06;2.55;15939;9953;5986;0;0;27%
