timestamp;container;cpu;mem_usage;mem_percent;net_io;block_io
2026-09-04T16:21:30+00:00;tb-thingsboard-ce-1;16.06%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:21:30+00:00;tb-postgres-1;0.58%;2.969GiB / 15.57GiB;19.07%;1.18GB / 507MB;2.17GB / 11.1GB
2026-09-04T16:21:30+00:00;tb-kafka-1;7.47%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:21:42+00:00;tb-thingsboard-ce-1;15.80%;1.936GiB / 15.57GiB;12.44%;3.27GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:21:42+00:00;tb-postgres-1;0.07%;2.97GiB / 15.57GiB;19.08%;1.19GB / 507MB;2.17GB / 11.1GB
2026-09-04T16:21:42+00:00;tb-kafka-1;5.17%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:21:54+00:00;tb-thingsboard-ce-1;17.63%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:21:54+00:00;tb-postgres-1;0.64%;2.968GiB / 15.57GiB;19.07%;1.19GB / 507MB;2.17GB / 11.1GB
2026-09-04T16:21:54+00:00;tb-kafka-1;7.99%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:22:07+00:00;tb-thingsboard-ce-1;16.34%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:22:07+00:00;tb-postgres-1;0.10%;2.971GiB / 15.57GiB;19.09%;1.19GB / 507MB;2.17GB / 11.1GB
2026-09-04T16:22:07+00:00;tb-kafka-1;6.71%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:22:19+00:00;tb-thingsboard-ce-1;15.14%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:22:19+00:00;tb-postgres-1;0.08%;2.972GiB / 15.57GiB;19.09%;1.19GB / 508MB;2.17GB / 11.1GB
2026-09-04T16:22:19+00:00;tb-kafka-1;6.15%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:22:31+00:00;tb-thingsboard-ce-1;15.87%;1.936GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:22:31+00:00;tb-postgres-1;0.73%;2.974GiB / 15.57GiB;19.11%;1.19GB / 508MB;2.17GB / 11.1GB
2026-09-04T16:22:31+00:00;tb-kafka-1;11.13%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:22:43+00:00;tb-thingsboard-ce-1;14.85%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:22:43+00:00;tb-postgres-1;0.16%;2.975GiB / 15.57GiB;19.11%;1.19GB / 508MB;2.17GB / 11.1GB
2026-09-04T16:22:43+00:00;tb-kafka-1;6.09%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:22:55+00:00;tb-thingsboard-ce-1;18.73%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:22:55+00:00;tb-postgres-1;7.07%;2.976GiB / 15.57GiB;19.12%;1.19GB / 508MB;2.17GB / 11.2GB
2026-09-04T16:22:55+00:00;tb-kafka-1;7.93%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:23:07+00:00;tb-thingsboard-ce-1;16.16%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:23:07+00:00;tb-postgres-1;1.88%;2.976GiB / 15.57GiB;19.12%;1.19GB / 509MB;2.17GB / 11.2GB
2026-09-04T16:23:07+00:00;tb-kafka-1;6.00%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:23:19+00:00;tb-thingsboard-ce-1;24.48%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:23:19+00:00;tb-postgres-1;37.96%;2.977GiB / 15.57GiB;19.13%;1.19GB / 509MB;2.17GB / 11.2GB
2026-09-04T16:23:19+00:00;tb-kafka-1;4.88%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:23:31+00:00;tb-thingsboard-ce-1;15.57%;1.936GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:23:31+00:00;tb-postgres-1;0.09%;2.977GiB / 15.57GiB;19.13%;1.19GB / 509MB;2.17GB / 11.2GB
2026-09-04T16:23:31+00:00;tb-kafka-1;8.71%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:23:43+00:00;tb-thingsboard-ce-1;15.46%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:23:43+00:00;tb-postgres-1;0.64%;2.977GiB / 15.57GiB;19.13%;1.19GB / 509MB;2.17GB / 11.2GB
2026-09-04T16:23:43+00:00;tb-kafka-1;9.94%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:23:56+00:00;tb-thingsboard-ce-1;15.71%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:23:56+00:00;tb-postgres-1;38.06%;2.979GiB / 15.57GiB;19.14%;1.19GB / 510MB;2.17GB / 11.2GB
2026-09-04T16:23:56+00:00;tb-kafka-1;6.34%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.66GB;155MB / 2.11GB
2026-09-04T16:24:08+00:00;tb-thingsboard-ce-1;16.44%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.78GB;74.2MB / 27MB
2026-09-04T16:24:08+00:00;tb-postgres-1;1.94%;2.98GiB / 15.57GiB;19.14%;1.19GB / 510MB;2.17GB / 11.2GB
2026-09-04T16:24:08+00:00;tb-kafka-1;6.86%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:24:20+00:00;tb-thingsboard-ce-1;24.42%;1.936GiB / 15.57GiB;12.44%;3.28GB / 4.78GB;74.2MB / 27MB
2026-09-04T16:24:20+00:00;tb-postgres-1;36.84%;2.98GiB / 15.57GiB;19.15%;1.19GB / 510MB;2.17GB / 11.2GB
2026-09-04T16:24:20+00:00;tb-kafka-1;5.73%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:24:32+00:00;tb-thingsboard-ce-1;15.40%;1.936GiB / 15.57GiB;12.44%;3.28GB / 4.78GB;74.2MB / 27MB
2026-09-04T16:24:32+00:00;tb-postgres-1;0.84%;2.98GiB / 15.57GiB;19.15%;1.19GB / 510MB;2.17GB / 11.2GB
2026-09-04T16:24:32+00:00;tb-kafka-1;6.25%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:24:44+00:00;tb-thingsboard-ce-1;20.78%;1.936GiB / 15.57GiB;12.44%;3.28GB / 4.78GB;74.2MB / 27MB
2026-09-04T16:24:44+00:00;tb-postgres-1;0.69%;2.981GiB / 15.57GiB;19.15%;1.19GB / 511MB;2.17GB / 11.2GB
2026-09-04T16:24:44+00:00;tb-kafka-1;7.20%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:24:56+00:00;tb-thingsboard-ce-1;15.32%;1.936GiB / 15.57GiB;12.44%;3.28GB / 4.78GB;74.2MB / 27MB
2026-09-04T16:24:56+00:00;tb-postgres-1;1.94%;2.981GiB / 15.57GiB;19.15%;1.2GB / 511MB;2.17GB / 11.2GB
2026-09-04T16:24:56+00:00;tb-kafka-1;6.01%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:25:08+00:00;tb-thingsboard-ce-1;14.44%;1.936GiB / 15.57GiB;12.44%;3.28GB / 4.78GB;74.2MB / 27MB
2026-09-04T16:25:08+00:00;tb-postgres-1;1.89%;2.982GiB / 15.57GiB;19.15%;1.2GB / 511MB;2.17GB / 11.2GB
2026-09-04T16:25:08+00:00;tb-kafka-1;6.49%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:25:20+00:00;tb-thingsboard-ce-1;40.86%;1.937GiB / 15.57GiB;12.44%;3.28GB / 4.78GB;74.2MB / 27MB
2026-09-04T16:25:20+00:00;tb-postgres-1;1.78%;2.983GiB / 15.57GiB;19.16%;1.2GB / 511MB;2.17GB / 11.2GB
2026-09-04T16:25:20+00:00;tb-kafka-1;10.38%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:25:33+00:00;tb-thingsboard-ce-1;15.49%;1.937GiB / 15.57GiB;12.44%;3.28GB / 4.78GB;74.2MB / 27MB
2026-09-04T16:25:33+00:00;tb-postgres-1;0.94%;2.983GiB / 15.57GiB;19.16%;1.2GB / 512MB;2.17GB / 11.2GB
2026-09-04T16:25:33+00:00;tb-kafka-1;6.74%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:25:45+00:00;tb-thingsboard-ce-1;21.73%;1.937GiB / 15.57GiB;12.44%;3.28GB / 4.79GB;74.2MB / 27MB
